date;Year;Variable;Value;Population;Rate
2015-03-01;2015;Older than 64;2481;1017060;243.938410713232
2015-04-01;2015;Between 15 and 64;1340;3716669;36.0537890245271
2015-04-01;2015;Older than 64;2051;1020660;200.948405933416
2015-05-01;2015;Between 15 and 64;1184;3719531;31.831970213449
2015-05-01;2015;Older than 64;2274;1023013;222.284565298779
2015-06-01;2015;Between 15 and 64;1383;3717863;37.1987886589689
2015-06-01;2015;Older than 64;2389;1023553;233.402666984514
2015-07-01;2015;Between 15 and 64;1392;3693549;37.6873299907487
2015-07-01;2015;Older than 64;2398;1023464;234.302330125925
2015-08-01;2015;Between 15 and 64;863;3696384;23.3471414225362
2015-08-01;2015;Older than 64;1512;1024532;147.579577797472
2015-09-01;2015;Between 15 and 64;1233;3700748;33.3175887685409
2015-09-01;2015;Older than 64;2278;1026681;221.880019207524
2015-10-01;2015;Between 15 and 64;1277;3702205;34.4929575752828
2015-10-01;2015;Older than 64;2439;1028297;237.188283151658
2015-11-01;2015;Between 15 and 64;1294;3685623;35.1093967017245
2015-11-01;2015;Older than 64;2256;1028350;219.380561093013
2015-12-01;2015;Between 15 and 64;1210;3689624;32.7946695923487
2015-12-01;2015;Older than 64;2206;1030604;214.049237146372
2016-01-01;2016;Between 15 and 64;1221;3693236;33.0604380548657
2016-01-01;2016;Older than 64;1969;1032678;190.669308342
2016-02-01;2016;Between 15 and 64;1404;3695983;37.9871877116318
2016-02-01;2016;Older than 64;2452;1033513;237.249071854926
2016-03-01;2016;Between 15 and 64;1262;3699210;34.1153922053628
2016-03-01;2016;Older than 64;2225;1035569;214.857725559572
2016-04-01;2016;Between 15 and 64;1278;3702243;34.5196141906406
2016-04-01;2016;Older than 64;2317;1036216;223.602028920611
2016-05-01;2016;Between 15 and 64;1384;3707021;37.3345605541485
2016-05-01;2016;Older than 64;2507;1037992;241.524019452944
2016-06-01;2016;Between 15 and 64;1298;3677785;35.2929820530564
2016-06-01;2016;Older than 64;2382;1038789;229.305470119533
2016-07-01;2016;Between 15 and 64;1283;3681311;34.8517145114879
2016-07-01;2016;Older than 64;2159;1040182;207.559830875751
2016-08-01;2016;Between 15 and 64;995;3685877;26.9949322779897
2016-08-01;2016;Older than 64;1803;1042258;172.989797151953
2016-09-01;2016;Between 15 and 64;1276;3690106;34.578952474536
2016-09-01;2016;Older than 64;2303;1043936;220.607393556693
2016-10-01;2016;Between 15 and 64;1316;3695828;35.6077176751732
2016-10-01;2016;Older than 64;2383;1045197;227.995296580453
2016-11-01;2016;Between 15 and 64;1424;3657296;38.9358695604622
2016-11-01;2016;Older than 64;2581;1038677;248.489183836746
2016-12-01;2016;Between 15 and 64;1071;3690213;29.0227149489745
2016-12-01;2016;Older than 64;2025;1046167;193.563742691176
2017-01-01;2017;Between 15 and 64;1367;3694607;36.9998757648648
2017-01-01;2017;Older than 64;2251;1047209;214.952316108819
2017-02-01;2017;Between 15 and 64;1358;3698725;36.7153546154418
2017-02-01;2017;Older than 64;2439;1048573;232.601831250662
2017-03-01;2017;Between 15 and 64;1459;3702503;39.4057749581837
2017-03-01;2017;Older than 64;2657;1049835;253.087389923178
2017-04-01;2017;Between 15 and 64;1112;3705969;30.0056476457304
2017-04-01;2017;Older than 64;1926;1051494;183.167949603136
2017-05-01;2017;Between 15 and 64;1512;3709872;40.7561231223072
2017-05-01;2017;Older than 64;2624;1053541;249.064820448374
2017-06-01;2017;Between 15 and 64;1319;3693751;35.7089581837
2017-06-01;2017;Older than 64;2604;1054373;246.971422826647
2017-07-01;2017;Between 15 and 64;1224;3700674;33.075056057356
2017-07-01;2017;Older than 64;2207;1057968;208.607443703401
2017-08-01;2017;Between 15 and 64;953;3710298;25.6852684070121
2017-08-01;2017;Older than 64;1745;1063383;164.098918263692
2017-09-01;2017;Between 15 and 64;1125;3712235;30.3051935020278
2017-09-01;2017;Older than 64;2133;1061886;200.869019838288
2017-10-01;2017;Between 15 and 64;1270;3723536;34.1073646125618
2017-10-01;2017;Older than 64;2489;1066560;233.367086708671
2017-11-01;2017;Between 15 and 64;1356;3726054;36.3923872278824
2017-11-01;2017;Older than 64;2425;1064987;227.702309981249
2017-12-01;2017;Between 15 and 64;964;3710191;25.982489850253
2017-12-01;2017;Older than 64;1733;1065252;162.684510331828
2018-01-01;2018;Between 15 and 64;1347;3716049;36.248176490676
2018-01-01;2018;Older than 64;2286;1065786;214.489587966064
2018-02-01;2018;Between 15 and 64;1326;3722323;35.6229161198531
2018-02-01;2018;Older than 64;2407;1067064;225.572224346431
2018-03-01;2018;Between 15 and 64;1341;3727679;35.9741276005793
2018-03-01;2018;Older than 64;2315;1067884;216.783845436396
2018-04-01;2018;Between 15 and 64;1218;3733410;32.6243300360796
2018-04-01;2018;Older than 64;2165;1069401;202.449782635326
2018-05-01;2018;Between 15 and 64;1356;3737233;36.2835284821685
2018-05-01;2018;Older than 64;2493;1071010;232.770935845604
2018-06-01;2018;Between 15 and 64;1343;3719816;36.1039363237321
2018-06-01;2018;Older than 64;2292;1071923;213.821328584236
2018-07-01;2018;Between 15 and 64;1458;3740716;38.9764954089003
2018-07-01;2018;Older than 64;2554;1076095;237.339640087539
2018-08-01;2018;Between 15 and 64;969;3746838;25.8618066753887
2018-08-01;2018;Older than 64;1661;1077892;154.097070949594
2018-09-01;2018;Between 15 and 64;1037;3753982;27.6240003281849
2018-09-01;2018;Older than 64;2001;1079738;185.322735700698
2018-10-01;2018;Between 15 and 64;1214;3759738;32.2894840012788
2018-10-01;2018;Older than 64;2307;1080882;213.436804387528
2018-11-01;2018;Between 15 and 64;1158;3769584;30.7195701170209
2018-11-01;2018;Older than 64;1969;1082631;181.871755011634
2018-12-01;2018;Between 15 and 64;1132;3751056;30.1781684944186
2018-12-01;2018;Older than 64;2030;1082661;187.500981378289
2019-01-01;2019;Between 15 and 64;1442;3762707;38.3234729677331
2019-01-01;2019;Older than 64;2336;1083796;215.538717618445
2019-02-01;2019;Between 15 and 64;1325;3768953;35.1556519808021
2019-02-01;2019;Older than 64;2260;1085691;208.162359271653
2019-03-01;2019;Between 15 and 64;1436;3779767;37.9917598095332
2019-03-01;2019;Older than 64;2427;1087023;223.270344785713
2019-04-01;2019;Between 15 and 64;1335;3786341;35.2583140292964
2019-04-01;2019;Older than 64;2325;1089449;213.410632347177
2019-05-01;2019;Between 15 and 64;1439;3793768;37.930627281373
2019-05-01;2019;Older than 64;2450;1090908;224.583557916891
2019-06-01;2019;Between 15 and 64;1196;3789859;31.5579022860745
2019-06-01;2019;Older than 64;2090;1092381;191.325187823662
2019-07-01;2019;Between 15 and 64;1566;3787292;41.3488054261462
2019-07-01;2019;Older than 64;2558;1093295;233.971617907335
2019-08-01;2019;Between 15 and 64;934;3793985;24.6179149364059
2019-08-01;2019;Older than 64;1570;1095330;143.335798343878
2019-09-01;2019;Between 15 and 64;1195;3804333;31.4115509867301
2019-09-01;2019;Older than 64;2185;1097192;199.144725809156
2019-10-01;2019;Between 15 and 64;1469;3813123;38.524852201201
2019-10-01;2019;Older than 64;2647;1099309;240.787622042574
2019-11-01;2019;Between 15 and 64;1192;3814583;31.2485008190935
2019-11-01;2019;Older than 64;2196;1100579;199.531337595938
2019-12-01;2019;Between 15 and 64;1110;3811684;29.1209869443532
2019-12-01;2019;Older than 64;1961;1101148;178.086869339998
2020-01-01;2020;Between 15 and 64;1271;3824231;33.2354400139531
2020-01-01;2020;Older than 64;2291;1103175;207.673306592336
2020-02-01;2020;Between 15 and 64;1323;3834009;34.5069612512647
2020-02-01;2020;Older than 64;2364;1104565;214.02090415684
2020-03-01;2020;Between 15 and 64;973;3837123;25.3575400110969
2020-03-01;2020;Older than 64;1588;1106231;143.550488098779
2020-04-01;2020;Between 15 and 64;571;3836139;14.8847578255115
2020-04-01;2020;Older than 64;875;1102432;79.3699747467418
2020-05-01;2020;Between 15 and 64;778;3836472;20.2790480420553
2020-05-01;2020;Older than 64;1410;1101415;128.017141586051
2020-06-01;2020;Between 15 and 64;1045;3818263;27.3684657133361
2020-06-01;2020;Older than 64;1971;1102911;178.708889475216
2020-07-01;2020;Between 15 and 64;1142;3822340;29.8769863486765
2020-07-01;2020;Older than 64;1940;1104690;175.614878382171
2020-08-01;2020;Between 15 and 64;749;3826597;19.5735270790209
2020-08-01;2020;Older than 64;1211;1106075;109.486246411862
2020-09-01;2020;Between 15 and 64;1011;3833144;26.3752157497866
2020-09-01;2020;Older than 64;1752;1108380;158.068532452769
2014-01-01;2014;Women;1459;2417371;60.3548234838591
2014-01-01;2014;Men;1670;2332232;71.605226238213
2014-02-01;2014;Women;1594;2418154;65.9180515384876
2014-02-01;2014;Men;1654;2333463;70.8817752842021
2014-03-01;2014;Women;1568;2418851;64.8241665154241
2014-03-01;2014;Men;1720;2334468;73.6784569332285
2014-04-01;2014;Women;1397;2419763;57.73292673704
2014-04-01;2014;Men;1619;2335341;69.3260641593669
2014-05-01;2014;Women;1589;2420325;65.6523400782953
2014-05-01;2014;Men;1761;2335930;75.3875330168284
2014-06-01;2014;Women;1587;2422384;65.5139730117108
2014-06-01;2014;Men;1584;2336995;67.7793491214145
2014-07-01;2014;Women;1838;2407806;76.3350535715918
2014-07-01;2014;Men;1944;2317624;83.8790071210861
2014-08-01;2014;Women;1057;2413245;43.7999457162451
2014-08-01;2014;Men;1163;2322932;50.0660372322565
2014-09-01;2014;Women;1478;2415699;61.1831192545098
2014-09-01;2014;Men;1585;2325223;68.1655049859734
2014-10-01;2014;Women;1913;2416565;79.16195095104
2014-10-01;2014;Men;2075;2326139;89.2036116500347
2014-11-01;2014;Women;1680;2417535;69.4922720870639
2014-11-01;2014;Men;1884;2327134;80.9579508528516
2014-12-01;2014;Women;1435;2409343;59.55980530792
2014-12-01;2014;Men;1654;2314189;71.4721226312976
2015-01-01;2015;Women;1596;2408999;66.2515841642109
2015-01-01;2015;Men;1690;2314027;73.0328557099809
2015-02-01;2015;Women;1553;2410242;64.4333639526654
2015-02-01;2015;Men;1802;2315705;77.8164748964138
2015-03-01;2015;Women;1841;2413235;76.2876387919121
2015-03-01;2015;Men;2152;2317977;92.839575198546
2015-04-01;2015;Women;1577;2416831;65.2507353637884
2015-04-01;2015;Men;1814;2320498;78.1728749604611
2015-05-01;2015;Women;1669;2419565;68.9793413278833
2015-05-01;2015;Men;1789;2322979;77.0131800588813
2015-06-01;2015;Women;1752;2418581;72.4391699099596
2015-06-01;2015;Men;2020;2322835;86.9626985989104
2015-07-01;2015;Women;1763;2408953;73.185321589919
2015-07-01;2015;Men;2027;2308060;87.8226735873418
2015-08-01;2015;Women;1104;2410788;45.7941552720521
2015-08-01;2015;Men;1271;2310128;55.0185963721491
2015-09-01;2015;Women;1608;2413910;66.613916840313
2015-09-01;2015;Men;1903;2313519;82.2556460526151
2015-10-01;2015;Women;1761;2415280;72.9108012321553
2015-10-01;2015;Men;1955;2315222;84.4411464645723
2015-11-01;2015;Women;1698;2408905;70.4884584489633
2015-11-01;2015;Men;1852;2305068;80.3447013276832
2015-12-01;2015;Women;1597;2412200;66.2051239532377
2015-12-01;2015;Men;1819;2308028;78.8118688334804
2016-01-01;2016;Women;1478;2415135;61.1974071842775
2016-01-01;2016;Men;1712;2310779;74.0875696031512
2016-02-01;2016;Women;1796;2417032;74.3060083606671
2016-02-01;2016;Men;2060;2312464;89.0824678784189
2016-03-01;2016;Women;1617;2419441;66.8336198320191
2016-03-01;2016;Men;1870;2315338;80.7657456492313
2016-04-01;2016;Women;1613;2421232;66.6189774461927
2016-04-01;2016;Men;1982;2317227;85.533268859719
2016-05-01;2016;Women;1776;2424362;73.2563866287295
2016-05-01;2016;Men;2115;2320651;91.1382194048136
2016-06-01;2016;Women;1675;2412417;69.4324405772302
2016-06-01;2016;Men;2005;2304157;87.016639925144
2016-07-01;2016;Women;1537;2414842;63.648056477401
2016-07-01;2016;Men;1905;2306651;82.5872661273855
2016-08-01;2016;Women;1252;2418101;51.7761665042114
2016-08-01;2016;Men;1546;2310034;66.9254218769074
2016-09-01;2016;Women;1661;2421110;68.604896101375
